imageName	name	nameLatin	parentFamily	description
herbivorousReefAngelfishEmperorJuvenile.jpeg	Reef Herbivorous			"These families are particularly good indicators of composition, condition and diversity because: -They are all taxonomically well documented are relatively easy to identify underwater/-They include ‘core’ reef species and collectively they comprise more than 50% of the observable fishes/-Most of these families are targeted by local fishing pressure/-Many are flagship species and so are important to tourists/-The strongest responses to MPAs in the Philippines have been found in predatory fishes (groupers and breams) and butterflyfish"
herbivorousReefAngelfish.jpeg	Angelfish	Pomacanthidae	Reef Herbivorous	"Diet consists of zooplankton, filamentous algae and benthic invertebrates./Have an important role in preventing overgrowth of reef building coral by eating faster growing sponge species./Have territorial mating pairs or harems and are protogynous hermaphrodites./Targeted by fishermen, good diversity indicators and flagship species."
herbivorousReefAngelfishBellus.jpeg	Bellus		Angelfish	
herbivorousReefAngelfishBicolor.png	Bicolor Angelfish	Centropyge bicolor	Angelfish	Reef slopes of coral and rubble./Max length 15cm./Pairs or small groups
herbivorousReefAngelfishBlackstripped.jpeg	Blackstriped Angelfish	Genicanthus lamarck	Angelfish	Shallow reef crests./Max Length 23cm./Forms groups
herbivorousReefAngelfishBlueGirdled.jpeg	Blue-girdled Angelfish 	Pomacanthus navarchus	Angelfish	Coral rich reef slopes./Max Length 25cm./Solitary
herbivorousReefAngelfishBlueRinged.jpeg	Blue-Ringed Angelfish	Pomacanthus annularis	Angelfish	Caves on coastal reefs./Max Length 45cm./Solitary or in pairs
herbivorousReefAngelfishEmperor.jpeg/herbivorousReefAngelfishEmperorJuvenile.jpeg	Emperor Angelfish	Pomacanthus imperator	Angelfish	In caves and areas of rich coral./Max Length 38cm./Solitary or Pairs
herbivorousReefAngelfishHalfBack.jpeg	Half Black		Angelfish	
herbivorousReefAngelfishKeyhole.jpeg	Keyhole Angelfish	Centropyge tibicen	Angelfish	Mixed coral and rubble./Max Length 19cm./Solitary or small groups.
herbivorousReefAngelfishMidnight.jpeg	Midnight		Angelfish	
herbivorousReefAngelfishMultibar.jpeg	Multibar		Angelfish	
herbivorousReefAngelfishPigmyYellowtail.jpeg	Pygmy Yellowtail		Angelfish	
herbivorousReefAngelfishRegal.jpeg	Regal Angelfish	Pygoplites diacanthus	Angelfish	Coral rich outer reefs./Max Length 25cm./Solitary or in pairs
herbivorousReefAngelfishSemicircle.jpeg	Semicircle Angelfish	Pomacanthus semicirculatus	Angelfish	Sheltered coastal reefs./Max Length 35cm./Solitary or in pairs
herbivorousReefAngelfishSixBanded.jpeg	Six-banded Angelfish	Pomacanthus sexstriatus	Angelfish	Coral rich outer slopes./Max Length 46cm./Solitary or in pairs
herbivorousReefAngelfishSpotBreast.jpeg	Spot breast		Angelfish	
herbivorousReefAngelfishThreeSpot.jpeg	Three Spot		Angelfish	
herbivorousReefAngelfishTwoSpined.jpeg	Two-spined Angelfish	Centropyge bispinosa	Angelfish	Coral rich reef slopes./Max length 10cm./Solitary or small groups
herbivorousReefAngelfishVelvet.jpeg	Velvet		Angelfish	
herbivorousReefAngelfishVermiculated.jpeg/herbivorousReefAngelfishVermiculatedAlternate.jpeg	Vermiculated Angelfish 	Chaetodontoplus mesoleucus	Angelfish	Coral rich reef shelfs./Max Length 18cm./Solitary or Pairs
herbivorousReefAngelfishYellowMasked.jpeg	Yellow-masked Angelfish	Pomacanthus xanthometopon	Angelfish	Coral rich areas./Max Length 38cm./Solitary
